user,comment,sentiment,clean
teenie,Love the flavors in this recipe!!! You can successfully make these gluten free simply by substituting the flour with Cup 4 Cup or Bob's Red Mill One-to-One Gluten Free Flour.  You can also use carob baking chips in lieu of chocolate for those allergic to cacao.,pos,love flavor recipe successfully gluten free simply substitute flour cup cup bob red mill gluten free flour use carob baking chip lieu chocolate allergic cacao
Val,I double dog dare you to let these cool for 20 minutes. Ye gods what a treat!,pos,double dog dare let cool minute ye god treat
Lucy,Soooooo goooddd,pos,
sammy,"Was a little bit sad to experience cookies were rather crunchy instead of fluffy. However, dank nonetheless.",pos,little bit sad experience cookie crunchy instead fluffy dank nonetheless
Amanda,"I had great success making a vegan version of these! I used 95 grams of coconut oil and increased the tahini to 2/3 cups. I also used raw cane sugar instead of granulated. Bob's Mill Flax Egg stood in lieu of the egg and yolk. The cookies required a bit of extra baking time (probably 16-18 minutes), but came out fluffy and with a lot of molecular integrity. They were a huge hit, and this recipe will definitely join my repertoire of regulars!",pos,great success make vegan version gram coconut oil increase tahini cup raw cane sugar instead granulate bob mill flax egg stand lieu egg yolk cookie require bit extra baking time probably minute come fluffy lot molecular integrity huge hit recipe definitely join repertoire regular
LD,Next time do not cook so long!,neu,time cook long
Kerry,"More tahini?
Less chips",neu,
Emily,"I used a medium sized cookie scoop and got about 24 cookies, that were ~3-3.5"" in diameter. I can't imagine wanting a cookie bigger than that! They are tasty and still soft at that size.",pos,medium sized cookie scoop get cookie diameter imagine want cookie big tasty soft size
Mary,"This is quite possibly the best cookie ever.  Slightly nutty, chocolate, salt, crispy and chewy. Best eaten recently baked. Save the dough and bake as you are ready to eat. I agree that the large cookie size is key to the best texture.  This cookie is guilty of helping me gain my COVID 15 shelter in place pounds!",pos,possibly good cookie slightly nutty chocolate salt crispy chewy well eat recently baked save dough bake ready eat agree large cookie size key good texture cookie guilty help gain covid shelter place pound
Meaghan,These cookies are incredible. Make sure to mix dough for the full 5 minutes before and after adding flour to ensure the cookies are light and crunchy. They spread a LOT so 3 inches of space on the cookie sheet was not enough for me,pos,cookie incredible sure mix dough minute add flour ensure cookie light crunchy spread lot inch space cookie sheet
Lorraine,"For some reason, I thought 4oz. was only half a stick of butter. I was wrong. But despite the error of omission, I could not have imagined these cookies being any more delicious. Good to know if you are ever running short.",pos,reason think oz half stick butter wrong despite error omission imagine cookie delicious good know run short
kmo,"Weirdly, these cookies taste best after they have cooled, at which point them become totally irresistible.",pos,weirdly cookie taste well cool point totally irresistible
Sophia,I modified with 2 eggs and added dried cranberries along with bittersweet chocolate chips. So delicious.,pos,modify egg add dry cranberry bittersweet chocolate chip delicious
Patricia,"Absolutely wonderful! Doubled. Totally gluten free by subbing (toasted) almond meal. Borrowed changes from other commenters: for single recipe browned Irish butter, used 1 c tahini, half brown and white sugar, 2 whole eggs, half Guittard Akoma and half extra dark chocolate chips. Maldon sea salt. Baked two sheets of small cookies until uniformly  light brown, shifting racks and rotating at 9 minutes. The cookies out of the oven are delicately crisp and slightly chewy. Adjustments worked great.",pos,absolutely wonderful double totally gluten free sub toast almond meal borrow change commenter single recipe brown irish butter c tahini half brown white sugar egg half guittard akoma half extra dark chocolate chip maldon sea salt bake sheet small cookie uniformly light brown shift rack rotate minute cookie oven delicately crisp slightly chewy adjustment work great
Patricia,"Correction: for doubled recipe I used 1 c tahini. Also reduced baking powder to 1/2 for 5K altitude. Rolled dough into walnut-sized balls then flattened and sprinkled with salt. 15 to a sheet, made almost 80 small cookies. Second round cooked at 325 convection for 12 min. Cookies need to cool a bit before transferring to cooling rack. Will become a regular cookie here, where GF is a demand, and almond meal works as a nutritious, delicious substitute.  Delicious flavor, excellent texture.",pos,correction double recipe c tahini reduce bake powder k altitude roll dough walnut sized ball flatten sprinkle salt sheet small cookie second round cook convection min cookie need cool bit transfer cool rack regular cookie gf demand almond meal work nutritious delicious substitute delicious flavor excellent texture
Nicole,Yup. Believe every review. They're awesome & possibly the best bookie I have ever made. Do yourself a favor and invest in that cookie scoop. Makes a difference.,pos,yup believe review awesome possibly good bookie favor invest cookie scoop make difference
Deborah,"Second time w/the following tweaks. Much better:
+ Upped tahini to 3/4 cup (same browned butter)
+ Used 2 whole eggs
+ Used whole bag of Ghirardelli dark chocolate chips
+ Pressed dough scoops flat and sprinkled unbaked tops with mix of black sesame seeds and fleur de sel
+ Baked at 350 convection for 15 mins

Not quite chewy but crisp and rich - more of a halva flavor",pos,second time w follow tweak well up tahini cup browned butter egg bag ghirardelli dark chocolate chip press dough scoop flat sprinkle unbaked top mix black sesame seed fleur de sel bake convection min chewy crisp rich halva flavor
ljn,Will this work with gluten-free flour?,neu,work gluten free flour
Kirstin A,"Be advised, gentle reader of comments:  Refrigerating this cookie dough for 12 hours is more important than one might think.  If you don't refrigerate the dough like the recipe says the cookies come out pretty meh. DO refrigerate properly, they're delicious and tender. Even better than your basic Tollhouse cookies because the Tahini gives protein goodness.  I substituted coconut oil for the butter and used hand mixer instead of stand mixer.  Will make again!",pos,advise gentle reader comment refrigerate cookie dough hour important think refrigerate dough like recipe say cookie come pretty meh refrigerate properly delicious tender well basic tollhouse cookie tahini give protein goodness substitute coconut oil butter hand mixer instead stand mixer
James,"Out of this world texture! Not quite chewy, not quite crunchy - melt in your mouth.",pos,world texture chewy crunchy melt mouth
A,"Does anyone know why this recipe has you beat the eggs and butter so much longer than most cc cookie ones? 

(Love the recipe, but I don't have a standing mixer (small kitchen), and this is the main reason I don't make it more often.)",pos,know recipe beat egg butter long cc cookie one love recipe stand mixer small kitchen main reason
Eliana,"I scaled up this recipe 8x for a room full of hungry college students, and they absolutely loved it. I got praise days after after I made it, so it was definitely hit. Also, substituting maple syrup for vanilla worked very well, even in large quantities, so don't be afraid to do it! It changes what people think about tahini.",pos,scale recipe x room hungry college student absolutely love get praise day definitely hit substitute maple syrup vanilla work large quantity afraid change people think tahini
Jutta,"These are the best chocolate chip cookies EVER! I have made them several times with a few variations. The large scoop made the best textured cookie. Also used combo of broken really good chocolate bars and chips adding a chocolate chard and sesame seeds to the top of slightly flattened cookie dough. Sprinkle with flaky salt as soon as cookies are out of oven. Tahini gives the cookies that je ne sais quoi that makes them irresistible.
I made ice cream sandwiches with these - divine.",pos,good chocolate chip cookie time variation large scoop good textured cookie combo broken good chocolate bar chip add chocolate chard sesame seed slightly flatten cookie dough sprinkle flaky salt soon cookie oven tahini give cookie je ne sais quoi make irresistible ice cream sandwich divine
Jeff,"These are delicious. I prepared them exactly according to the directions. They were much thinner than I expected. That’s good, because I like a thin somewhat crispy chocolate chip cookie. Is that the way they’re supposed to turn out?  The recipe refers to soft cookies, and these were in between soft and crispy, and very thin.  Delicious.",pos,delicious prepare exactly accord direction thin expect s good like thin somewhat crispy chocolate chip cookie way suppose turn recipe refer soft cookie soft crispy thin delicious
Janet C,"I made a mistake and used the 1/3 cup measurement and ended up with 1 and 1/3 cup of sugar, but I really liked the result, so I am going to add the extra sugar next time!",pos,mistake cup measurement end cup sugar like result go add extra sugar time
alexis s,"To freeze dough: 

Put dough in balls and freeze.
When ready to bake, take balls out of freezer and place on greased sheet pan. 
Bake cookies 15 minutes at 350.",neu,freeze dough dough ball freeze ready bake ball freezer place grease sheet pan bake cookie minute
Linds,"These are SOOOO devine! Multiple people who tried them said they were their new favorite cookie.  I'm a chocolate chip cookie fanatic, as well as anything sesame :-)  I did brown the butter to add another layer of savory deliciousness & rolled some of the cookies in sesame seeds for a fun texture before baking (which gained a nice roasty flav in the oven).",pos,soooo devine multiple people try say new favorite cookie chocolate chip cookie fanatic sesame brown butter add layer savory deliciousness roll cookie sesame seed fun texture baking gain nice roasty flav oven
ellen,"These are so good! The tahini not only creates a wonderful flavor but mine had a delightful texture, slightly sandy (but in a good way). I am going to try rolling the dough in sesame seeds next time to amp up that sesame flavor and for a bit more crunch.",pos,good tahini create wonderful flavor delightful texture slightly sandy good way go try roll dough sesame seed time amp sesame flavor bit crunch
Caroline,"Made exactly as directed, except we only refrigerated the dough for about 4 hours, and they were fantastic. Perfect. Used the marvelous Tarazi tahini and Guittard bittersweet chips.",pos,exactly direct refrigerate dough hour fantastic perfect marvelous tarazi tahini guittard bittersweet chip
Frances,"I'd not increase the amount of chocolate chips... Ever. I followed the recipe, and the cookies are delicious but I should definitely half the chocolate chips. Too much chocolate to be able to taste the sesame flavor.",pos,increase chocolate chip follow recipe cookie delicious definitely half chocolate chip chocolate able taste sesame flavor
tammy,Tahini added nothing - just tasted like a perfectly nice chocolate chip cookie.  I thought that a regular ice scoop was way too big and I was correct - cookies are way too big.  I may try again with more tahini (as suggested in some of the notes) and using a smaller portion.  But overall - underwhelmed.,neg,tahini add taste like perfectly nice chocolate chip cookie think regular ice scoop way big correct cookie way big try tahini suggest note small portion overall underwhelmed
Kisa,"I'm not much of a baker, but I'm going to try the tahini on my ice cream.  :)",neu,baker go try tahini ice cream
Sanam S.,"I’ve made these twice and the flavor is there but they are SO DRY. I’m following the recipe exactly, I just don’t get what I’m doing. 

The first time I thought my baking powder was the problem (it was uncovered in the fridge) and I cooked at 350 on accident. 

2nd time I had fresh baking powder and cooked at 325 for 15 min (maybe a little less) and the taste great but they’re really dry. Not crispy, just dry.

I would really like to get this right. Any ideas are welcome!",neg,ve twice flavor dry m follow recipe exactly don t m time think baking powder problem uncover fridge cook accident nd time fresh baking powder cook min maybe little taste great dry crispy dry like right idea welcome
sam,"Following some commenters, I doubled tahini and replaced half the sugar with dark brown. No electric mixer so beat by hand the best i could. I only refrigerated for a few hours because um I wanted cookies. I did convection at 300 and they were done as described - barely browning at edges - at 12 minutes. Yum! Upping the tahini definitely gives a nutty flavor, not vastly different than peanut butter cookies (my favorite). Even better the next day when completely cooled.",pos,follow commenter double tahini replace half sugar dark brown electric mixer beat hand good refrigerate hour um want cookie convection describe barely brown edge minute yum up tahini definitely give nutty flavor vastly different peanut butter cookie favorite well day completely cool
Melodie,"Followed the recipe exactly except for using milk chocolate chips because I had them on hand, and chilled for 24 hours. Made 15 cookies (12 + 3) on baking sheets and used an ice cream scoop for sizing. Made delicious, tasty, thin, bakery-style cookies (crisp on edges, soft in the middle) but they spread far more than I expected, and as a result a) I had to keep them in the oven way longer, close to 20 minutes, and b) they formed one large cookie mass, like a sheet of blondies or a dividing cell.",pos,follow recipe exactly milk chocolate chip hand chill hour cookie bake sheet ice cream scoop size delicious tasty thin bakery style cookie crisp edge soft middle spread far expect result oven way long close minute b form large cookie mass like sheet blondie divide cell
Andi,"I made it pretty much as written and they're delicious, though I really didn't get much tahini flavor.  I think next time I'll increase the amount, and maybe add more egg as someone suggested.",pos,pretty write delicious tahini flavor think time increase maybe add egg suggest
Brandon,"Following the recipe with no revisions, they turned out as really good chocolate chip cookies. The tahini flavor was lacking though once baked (which was the point for me), so I would increase that in the recipe in the future.",pos,follow recipe revision turn good chocolate chip cookie tahini flavor lack bake point increase recipe future
Patricia,Delicious. Only revision - added an entire bag of dark chocolate chip morsels.,pos,delicious revision add entire bag dark chocolate chip morsel
Simone,"Crispy one day after baking with refrigerating. Rest of dough in freezer, so will have to compare. Subtle nutty flavor, definitely not too out there.",neu,crispy day bake refrigerating rest dough freezer compare subtle nutty flavor definitely
Amy C.,This was awesome and well worth the wait in the fridge. I scooped prior to chilling and it was way easier than chilled dough. I used Soom tahini which is seriously the best brand ever. Only other change was I used 1/2 cup brown sugar and 1/2 cup white sugar instead of all white sugar. Not sure how much difference that makes but I wanted soft chewy cookies and I got it.,pos,awesome worth wait fridge scoop prior chill way easy chilled dough soom tahini seriously good brand change cup brown sugar cup white sugar instead white sugar sure difference make want soft chewy cookie get
Patchoolia,"Hi all, I followed the recipe though I did up the tahini to 3/4 cup.  The batter looked (and tasted great)  but then as I added the chips it all turned into extremely oily lump.  The chocolate chips couldn't incorporate, most sat in the bottom of the mixer in a puddle of oil.  What happened?",neg,hi follow recipe tahini cup batter look taste great add chip turn extremely oily lump chocolate chip incorporate sit mixer puddle oil happen
Karen Shea,These cookies were too gritty and fell apart.  Sad face.,neg,cookie gritty fall apart sad face
Stef,Mine needed to stay in the oven for 22-24 minutes. Turned out divine.,pos,need stay oven minute turn divine
Deborah,"First time, followed recipe as written. After making David Leite's Choc. Chip. Cookies, I decided to use his basic approach. Also used Plugra butter for crisper exterior, chewier interior. My version: Double recipe, chill 1 hour, form dough into 18 (3.4 to 3.5-oz.) balls. Wrap tightly in plastic. Refrig. 48-72 hours. Bake on parchment-lined sheets @ 350 approx. 18 min., turning once halfway through, until golden brown (not just edges). P.S. Chocolate: El Rey 70% choc. discs. Outstanding cookies.",pos,time follow recipe write make david leite choc chip cookie decide use basic approach plugra butter crisp exterior chewy interior version double recipe chill hour form dough oz ball wrap tightly plastic refrig hour bake parchment line sheet approx min turn halfway golden brown edge p s chocolate el rey choc disc outstanding cookie
Amazing flavor!,"My family loves these cookies! They are a little too salty and sweet, so I half the salt and use 1/2 cup granulated sugar, 1/4 cup brown sugar (they are still sweet enough, you could easily just do 1/2 cup sugar and make them even healthier). I also put 1/3 chickpea flour.",pos,family love cookie little salty sweet half salt use cup granulated sugar cup brown sugar sweet easily cup sugar healthy chickpea flour
Anna,"As written, this makes a solid chocolate chip cookie. However, I was craving more tahini flavor, so the second time around I rolled the dough balls in toasted white and black sesame seeds. This made them next level amazing. I also used 1/2 light brown sugar, 1/2 granulated. Cookies will certainly work if you cook them right away, but the texture, color and flavor WILL improve if you allow the 12  hours refrigeration.",pos,write make solid chocolate chip cookie crave tahini flavor second time roll dough ball toast white black sesame seed level amazing light brown sugar granulated cookie certainly work cook right away texture color flavor improve allow hour refrigeration
B. Richards,"I made these hoping the tahini would make the cookies taste reminiscent of halvah (tahini candy). And the dough was very promising with a pronounced tahini flavor! But once baked, the tahini flavor completely disappears. The cookies were delicate and tasty, but not particularly special for having added such a unique ingredient.",neu,hope tahini cookie taste reminiscent halvah tahini candy dough promising pronounced tahini flavor bake tahini flavor completely disappear cookie delicate tasty particularly special have add unique ingredient
Katy Cesarotti,"I made these, and tried to bake until I got the golden hue of the picture in the video. Don't! It crisps up the cookies too much. These are very very pale cookies; leave them that way",neu,try bake get golden hue picture video crisp cookie pale cookie leave way
nora,Perfect as written. My favorite chocolate chip cookie recipe.,pos,perfect write favorite chocolate chip cookie recipe
Liz,"Just made these and didnt wait the 12 hours- needed cookies now! 
The result was larger, flatter cookies and the recipe made 24 cookies. I will make immediately again but I will make the cookies smaller.",neu,nt wait hour need cookie result large flat cookie recipe cookie immediately cookie small
TheAdventuresofDarbs,Have made these at least a dozen times now and they're always a hit at parties and other social gatherings. Everyone wants to know what makes them extra special.,pos,dozen time hit party social gathering want know make extra special
samantha,"I did 14 minutes for about 26 cookies. I did 3/4 cup tahini and I think it could use even more. I mixed for suggested time, about ten minutes total. 

Absolutely perfect soft cookies.",pos,minute cookie cup tahini think use mix suggest time minute total absolutely perfect soft cookie
Shreya,"Easy Peasy to make, and I thought the tahini flavour was on point with the amount mentioned in the recipe. 
But keen to try the alternate versions mentioned below. 
Mine did rise in the oven, but flattened when it cooled; is that normal?",neu,easy peasy think tahini flavour point mention recipe keen try alternate version mention rise oven flatten cool normal
Sally,"cream for a total of 4 minutes next time, and bake for 15",neu,cream total minute time bake
Alison D,"Favorite cookie recipe ever! The second time I baked these, i swapped out the flour and used an all-purpose gluten-free flour blend. They were just as great! Coworkers had no idea they were GF, total hit!",pos,favorite cookie recipe second time bake swap flour purpose gluten free flour blend great coworker idea gf total hit
M,"Like others suggested, I used dark chocolate for these and they turned out great. Loved the subtle taste of the tahini in the cookies, and the texture was really nice (crispy on the outside and chewy on the inside). I love topping my cookies with maldon salt :) I baked these for a little longer than 16 min to get the edges to slightly brown. I wonder if I could also incorporate sesame into these cookies?",pos,like suggest dark chocolate turn great love subtle taste tahini cookie texture nice crispy outside chewy inside love top cookie maldon salt bake little long min edge slightly brown wonder incorporate sesame cookie
Cynthia,"I used nearly double the tahini because I wanted to use up a whole Kronos jar I found languishing in the pantry -- so a scant 2 cups for a double batch. Used 3 whole eggs for the double batch and substituted light brown sugar for half of the granulated. I didn't want giant cookies, so I baked 1T scoops for 15 minutes and got 6 dozen. Skipped the post-bake salting. Dough was salty enough to be interesting already. Despite all these liberties, cookies came out absolutely delicious.",pos,nearly double tahini want use kronos jar find languish pantry scant cup double batch egg double batch substitute light brown sugar half granulated want giant cookie bake t scoop minute get dozen skip post bake salting dough salty interesting despite liberty cookie come absolutely delicious
KS,"Boyfriend, not much of a cookie or chocolate person, remarked on saltiness. The salt didn't bother me much, but I may drop the dusting if I make these  again. Used table salt in batter and sprinkled top with sea salt that I ground  with mortar / pestle, so that may have affected flavors. I did like finding this recipe, because it was a good way to use up  tahini I had on hand. Made with hand mixer, and  dough seemed fine. Ended up with 25 cookies. Baked each batch for  16 minutes",neu,boyfriend cookie chocolate person remark saltiness salt bother drop dusting table salt batter sprinkle sea salt grind mortar pestle affect flavor like find recipe good way use tahini hand hand mixer dough fine end cookie bake batch minute
suzywampus,"These are absolutely delicious. I made half the dough into larger cookies (the size the recipe calls for), and another batch about half the size so I could share with a larger group. Both worked beautifully. Tahini flavor is strong in the dough then mellows into subtle crispiness in the baked cookie. A revelation.",pos,absolutely delicious half dough large cookie size recipe call batch half size share large group work beautifully tahini flavor strong dough mellow subtle crispiness baked cookie revelation
drshar90,would it taste awesome with almond flour?  Could honey sub for sugar?,neu,taste awesome almond flour honey sub sugar
Chef Chloe,"Pro tip: add a handful or two of salted sunflower seeds for texture and cook batter in a round 9” cake pan for 35 minutes. Result is a moist, texturally complex treat.",pos,pro tip add handful salt sunflower seed texture cook batter round cake pan minute result moist texturally complex treat
Kate,"Honestly, I don't know what all the accolades are for.  I found this cookie average tasting, and lacking in any texture or nuance.  Without the salt, I didn't find them very different from most chocolate chip cookies.  I won't make these again, unless I do some modifications to the flour and add nuts.",neg,honestly know accolade find cookie average tasting lack texture nuance salt find different chocolate chip cookie wo modification flour add nut
sam,These were good but I didn’t find them to be an improvement over regular old chocolate chip cookies.,neg,good didn t find improvement regular old chocolate chip cookie
robin,Make a double recipe and a little bit smaller,neu,double recipe little bit small
David Davenport,Everyone loves these! I used 2 whole eggs to add volume. I also found that the cooking time is up to 20 minutes at 350 or else they are underdone.,pos,love egg add volume find cooking time minute underdone
robin,"Excellent cookies! Totally make these again, preferably a double recipe.",pos,excellent cookie totally preferably double recipe
Es,Recipe made 25 good-sized cookies. I think I would make them even smaller next time. Used bittersweet chocolate chips and loved the flavors. Cookies are very soft when taken out of the oven (at 16-18 minutes) so don't try to take them off the cookie sheet until they have cooled a bit. I used an ice cream scoop to form the cookies and rounded scoops into little balls.,pos,recipe good sized cookie think small time bittersweet chocolate chip love flavor cookie soft take oven minute try cookie sheet cool bit ice cream scoop form cookie rounded scoop little ball
cookingforfunnt,"Used a mix of white whole wheat flour and all purpose; also cut the sugar in half and used a mix of turbinado and dark brown sugar. Baked two cookies immediately - because I couldn’t wait. Difficult to form in scoops, but managed to squish dough together. Cookies didn’t spread much and were delicious!",pos,mix white wheat flour purpose cut sugar half mix turbinado dark brown sugar bake cookie immediately couldn t wait difficult form scoop manage squish dough cookie didn t spread delicious
Jess,"Didn't have tahini, so I used peanut butter. Don't know if that affected the bake time but I ended up cooking them at 325 for about 20min. Came out great! Would definitely try this again with tahini next time!",pos,tahini peanut butter know affect bake time end cook min come great definitely try tahini time
Laurel,"Gluten Free- EXCELLENT!!
62 g brown rice flour
58 g oat flout
30 g potato starch
1/3 teaspoon xanthan gum",pos,gluten free excellent g brown rice flour g oat flout g potato starch teaspoon xanthan gum
Falstaff,"Absolutely delicious. Dough was refrigerated for about 18:00 hours. Quantity was enough for 20 cookies. All gone, before you could believe it. Second batch is in the making. ",pos,absolutely delicious dough refrigerate hour quantity cookie go believe second batch making
Ronnie,"Kosher salt did not fit through my sifter, so just had to sprinkle the kosher salt on top of the flour mixture and stir....

Still, everyone loved the cookies...",pos,kosher salt fit sifter sprinkle kosher salt flour mixture stir love cookie
Martha,"I made the cookie dough yesterday and baked them this morning. I used a large ice cream scoop (it should say the capacity of the scoop, not just large) but I think it should say a small scoop. Also it was almost impossible to scoop as it came out of the refrigerator. I baked them at 325 and the first batch was a bit under baked. The second batch came out beautifully. They all taste delicious under baked or not. So if I make them again I’d make them smaller and bake them longer. ",pos,cookie dough yesterday bake morning large ice cream scoop capacity scoop large think small scoop impossible scoop come refrigerator bake batch bit bake second batch come beautifully taste delicious baked d small bake long
Lynn,"I didn't have 12 hours to chill, so they went right in the oven and turned out very tender. I salted them about 5 min into baking to be sure the salt would stick. ",pos,hour chill go right oven turn tender salt min baking sure salt stick
Mirba,I was lazy to set aside the whites from the 2nd egg so I just added it and a bit extra flour. Turned out just fine.,pos,lazy set aside white nd egg add bit extra flour turn fine
Katherine,Delicious!,pos,
Laura Francis,"This is the best chocolate chip cookie recipe I have ever tried and I’ve tried way more than a few. Do you know how I know? My husband told me not to share the recipe with anyone. Ever. 

",pos,good chocolate chip cookie recipe try ve try way know know husband tell share recipe
lee rosenthal,Can these be made as a bar rather than drop cookies?,neu,bar drop cookie
Esperanza,Any chance the flour/matzo meal could be replaced by almond flour to make these gluten free?,neu,chance flour matzo meal replace almond flour gluten free
nora,Perfect as written. I use dark chocolate chips. ,pos,perfect write use dark chocolate chip
lee rosenthal,Can this be made as bars?,neu,
Annette,"Only use 1 cup of chocolate chips. Otherwise too overloaded for my taste

",neu,use cup chocolate chip overload taste
Yasmine Bernstein,"This recipe really intrigued me and I had to try it! The cookies were really delicious, crackled on the outside with a soft inside! I wanted to keep them dairy free and put my own twist on these cookies.
1/2 c tehini
1/2 c white sugar
1/2 c brown sugar
2 tbsp canola oil
2 tbsp coconut oil the harden form
2 tbsp natural peanut butter
2 tsp vanilla 
1 egg
1 yolk of egg
Added 1/2 c oat flour 1/2 c + 1/8 c white flour 3/4 tsp baking powder 1/2 tsp baking soda forgot the salt
then folded in chocolate",pos,recipe intrigue try cookie delicious crackle outside soft inside want dairy free twist cookie c tehini c white sugar c brown sugar tbsp canola oil tbsp coconut oil harden form tbsp natural peanut butter tsp vanilla egg yolk egg add c oat flour c c white flour tsp baking powder tsp baking soda forget salt fold chocolate
Yasmine Bernstein,"Refrigerated for about an hour and found it to be firm enough. Once scooped I shook a little kosher salt over the top of them to make up for the forgotten salt.   Baked as directed, turning the tray around half way through.  Taking out of the oven while still soft to cool on cookie sheet.  Decided to make a batch of the dairy ones as well and will wait to bake those tomorrow.  ",neu,refrigerate hour find firm scoop shake little kosher salt forget salt bake direct turn tray half way take oven soft cool cookie sheet decide batch dairy one wait bake tomorrow
Marty,"These are good cookies, people! Julia -- with all respect for your fun recipe, you make your cookies too big. I followed your recipe to the letter, but made my cookies by the rounded teaspoonful. Yield: 50 cookies. Baking time: 23 mins per batch, at 325. Just to the point you said: golden brown around the edges, pale in the middle. I'm sharing with neighbors for Christmas, but the cry has already been heard: save some for us! ",pos,good cookie people julia respect fun recipe cookie big follow recipe letter cookie rounded teaspoonful yield cookie baking time min batch point say golden brown edge pale middle share neighbor christmas cry hear save
Sky,"Made these last night for a Christmas cookie exchange. They were OK. They're thin, crispy cookies, which is not my preference. I love thick, chewy cookies. The tahini does add depth of flavour but it's very subtle. I'm unlikely to make these again.",neg,night christmas cookie exchange ok thin crispy cookie preference love thick chewy cookie tahini add depth flavour subtle unlikely
Helen,"made these as directed except increased tahini.  They turned out great, but not chewy, rather crisp.  Might have been the high altitude (I'm in Denver), but everyone loved them  They were softer when I I made them in Portland.",pos,direct increase tahini turn great chewy crisp high altitude denver love soft portland
Leek,"I had 21 cookies. Next time I will make them smaller to get an even 2 doz. They are quite flat. I refrigerated them overnight; a step that has been recommended elsewhere as being important. I subbed 1/2 dark brown sugar and used semi-sweet chocolate - 1/2 chips and 1/2 shards I chipped off a block. Next time I'll try a darker chocolate. I thought they were very tasty, my husband didn't notice that they were any different from a regular choc chip cookie.",pos,cookie time small doz flat refrigerate overnight step recommend important sub dark brown sugar semi sweet chocolate chip shard chip block time try dark chocolate think tasty husband notice different regular choc chip cookie
Morgan,Wonderful!  Used a full cup of Ghirardelli dark chocolate bits.  Why hold back?,pos,wonderful cup ghirardelli dark chocolate bit hold
Gina,Dec.  8 - took to Hannukah party at Foster-Falks. Good.,pos,dec take hannukah party foster falk good
Brooke,Shape into balls. Smaller than they recommend. Cooked large ones for almost 25 min!,neu,shape ball small recommend cook large one min
JD,"36 (2 1/2-inch) cookies

1 1/4 cups  all-purpose flour
3/4 teaspoon baking powder
1/2 teaspoon baking soda
1/4 teaspoon fine salt
8 tablespoons (1 stick) unsalted butter, at room temperature
1/2 cup tahini
1/2 cup packed dark brown sugar
1/2 cup granulated sugar
1 large egg
1/2 cup  coarse-grain sugar, such as demerara",neu,  inch cookie cup purpose flour teaspoon bake powder teaspoon bake soda teaspoon fine salt tablespoon stick unsalted butter room temperature cup tahini cup pack dark brown sugar cup granulated sugar large egg cup coarse grain sugar demerara
james m locke,NOT IMPRESSED!  Chocolate chip cookies and the tahini added nothing that I could taste.,neg,impress chocolate chip cookie tahini add taste
Samantha,"2x batch

Browned butter
1.5 c tahini (WF and Soom)
Whole wheat flour 350g
1c each white and brown sugar 200g each
460g mixed chocolate (72%, 74%, 82%, 84%)",neu,  x batch brown butter c tahini wf soom wheat flour g c white brown sugar g g mixed chocolate
bobbie ,Makes 32,neu,
mary,this is my favorite cookie. i like to scoop the cookies before freezing. then i just pop them into a ziptop bag and bake a few at a time as needed. the smell when you beat the eggs and sugar and tahini together is incredible.,pos,favorite cookie like scoop cookie freeze pop ziptop bag bake time need smell beat egg sugar tahini incredible
Tracie,6 cookies per half sheet pan. 22 minutes in the oven.,neu,  cookie half sheet pan minute oven
Tina,"Fresh out of the oven I hated these, but once fully cooled and crispy they’re soooo good. I oversalted and used the wrong chocolate in too big of a chunk so next time I’ll use better chocolate in tiny chunks and be way more conservative when dusting with flaky salt. And let them cool, of course. ",pos,fresh oven hate fully cool crispy soooo good oversalte wrong chocolate big chunk time ll use well chocolate tiny chunk way conservative dust flaky salt let cool course
Eric W,"Great cookies!
I made these with 3/4 cup Ziyad Tahini, 2 eggs, and 9 oz chopped dark chocolate. I did not refrigerate the dough. I used a 1” cookie scoop to drop 16 cookies on each sheet and baked at 350 on convection for 15 min. Cookies were tender and crisp.",pos,great cookie cup ziyad tahini egg oz chop dark chocolate refrigerate dough cookie scoop drop cookie sheet bake convection min cookie tender crisp
Lynne,"Such a nice cookie. I made mine dairy and gluten free and they are delicious, crispy edges and a little chewy in the middle. I substituted Earth Balance for the butter and Bob's Red Mill 1 to 1 for the flour. I also reduced the sugar to 2/3 cup because I prefer them less sweet. When I make them for Christmas cookie exchanges, I'll put the full amount of sugar in them. I found they needed 22 minutes in the oven. I got 22 three-inch cookies using a small scoop. The perfect size.",pos,nice cookie dairy gluten free delicious crispy edge little chewy middle substitute earth balance butter bob red mill flour reduce sugar cup prefer sweet christmas cookie exchange sugar find need minute oven get inch cookie small scoop perfect size
Wren,"These are absolutely delicious and received rave reviews from several friends, including one who doesn’t usually like chocolate chip cookies. I used a smaller cookie scoop, baked them for 12-13 minutes, and got about 36 cookies out of the batch.  I baked two cookies immediately and chilled the rest of the dough overnight, per the recipe. The first two cookies were good, but I thought the resting really did result in a better flavor and texture. ",pos,absolutely delicious receive rave review friend include doesn t usually like chocolate chip cookie small cookie scoop bake minute get cookie batch bake cookie immediately chill rest dough overnight recipe cookie good think resting result well flavor texture
Sally,"Best if baked for 14.5 minutes.  

Spread a ton - so maybe bake from frozen?",neu,good bake minute spread ton maybe bake frozen
nm,"I made these semi vegan with 4T aquafaba (chickpea liquid) instead of the eggs and used half almond half spelt flour, half brown and half coconut sugar. still great!",pos,semi vegan t aquafaba chickpea liquid instead egg half almond half spell flour half brown half coconut sugar great
